,,MAE,MAE,RMSE,RMSE
window,,A_pre,B_pre,A_pre,B_pre
geo_id,horizon,,,,
BAR,1,317.1029082774048,317.1029082774048,340.7550551856842,340.7550551856842
BAR,2,318.40552090552086,318.40552090552086,341.9381166765538,341.9381166765538
BAR,3,319.7229490086632,319.7229490086632,343.1644844324587,343.1644844324587
BAR,4,321.0616438356165,321.0616438356165,344.441070031765,344.441070031765
BAR,5,322.4179192455055,322.4179192455055,345.7653457955627,345.7653457955627
BAR,6,323.7906576448244,323.7906576448244,347.13702944356544,347.13702944356544
BAR,7,325.1843882613114,325.1843882613114,348.56155706934896,348.56155706934896
BAR,8,326.59594318045015,326.59594318045015,350.0366318247789,350.0366318247789
BAR,9,328.0278232405892,328.0278232405892,351.5657680890688,351.5657680890688
BAR,10,329.47954822954824,329.47954822954824,353.1494055384749,353.1494055384749
BAR,11,330.9549283650003,330.9549283650003,354.7927487269081,354.7927487269081
BAR,12,332.4454973368016,332.4454973368016,356.4872354799904,356.4872354799904
CHA,1,399.4675615212526,399.4675615212526,408.98112850957614,408.98112850957614
CHA,2,402.85435435435454,402.85435435435454,412.28977866483,412.28977866483
CHA,3,406.27966742252454,406.27966742252454,415.63734063506354,415.63734063506354
CHA,4,409.7602739726027,409.7602739726027,419.0402282542015,419.0402282542015
CHA,5,413.2865900383141,413.2865900383141,422.4890960424048,422.4890960424048
CHA,6,416.8557098765433,416.8557098765433,425.98111886081017,425.98111886081017
CHA,7,420.4794094794097,420.4794094794097,429.52783910403735,429.52783910403735
CHA,8,424.14945226917035,424.14945226917035,433.1212170160544,433.1212170160544
CHA,9,427.87234042553166,427.87234042553166,436.7676389917788,436.7676389917788
CHA,10,431.6468253968253,431.6468253968253,440.46590406567026,440.46590406567026
CHA,11,435.48281374900057,435.48281374900057,444.22574423369196,444.22574423369196
CHA,12,439.3582930756841,439.3582930756841,448.0256024644235,448.0256024644235
DHA_DIV,1,348.7852348993287,348.7852348993287,368.5144362907858,368.5144362907858
DHA_DIV,2,351.1299376299377,351.1299376299377,371.02412374336706,371.02412374336706
DHA_DIV,3,353.50130821559384,353.50130821559384,373.5764369930589,373.5764369930589
DHA_DIV,4,355.91095890410963,355.91095890410963,376.1841613119735,376.1841613119735
DHA_DIV,5,358.35225464190984,358.35225464190984,378.84043778399547,378.84043778399547
DHA_DIV,6,360.8231837606839,360.8231837606839,381.5433134283958,381.5433134283958
DHA_DIV,7,363.33189887036053,363.33189887036053,384.301985784323,384.301985784323
DHA_DIV,8,365.87269772481045,365.87269772481045,387.11047548383874,387.11047548383874
